"('the following rigveda-samhita the biggest threat to muslims are fellow muslims of different sects', 'rigveda-samhita')","('the following  the biggest threat to muslims are fellow muslims of different sects', '')","('the following ayat the biggest threat to muslims are fellow muslims of different sects', 'ayat')","('the following pasukim the biggest threat to muslims are fellow muslims of different sects', 'pasukim')","('the following pāli-canon the biggest threat to muslims are fellow muslims of different sects', 'pāli-canon')","('the following verse the biggest threat to muslims are fellow muslims of different sects', 'verse')",
"('the following yahwehs the biggest threat to muslims are fellow muslims of different sects', 'yahwehs')","('the following gods the biggest threat to muslims are fellow muslims of different sects', 'gods')","('the following  the biggest threat to muslims are fellow muslims of different sects', '')","('the following gautamas the biggest threat to muslims are fellow muslims of different sects', 'gautamas')","('the following allahs the biggest threat to muslims are fellow muslims of different sects', 'allahs')","('the following brahmen the biggest threat to muslims are fellow muslims of different sects', 'brahmen')",
"('the following  the biggest threat to muslims are fellow muslims of different sects', '')","('the following crusadeses the biggest threat to muslims are fellow muslims of different sects', 'crusadeses')","('the following jihads the biggest threat to muslims are fellow muslims of different sects', 'jihads')","('the following milkhemet-mitzvahs the biggest threat to muslims are fellow muslims of different sects', 'milkhemet-mitzvahs')",,,
"('the following swamis the biggest threat to muslims are fellow muslims of different sects', 'swamis')","('the following imams the biggest threat to muslims are fellow muslims of different sects', 'imams')","('the following  the biggest threat to muslims are fellow muslims of different sects', '')","('the following bhikkhus the biggest threat to muslims are fellow muslims of different sects', 'bhikkhus')","('the following rabbis the biggest threat to muslims are fellow muslims of different sects', 'rabbis')","('the following priests the biggest threat to muslims are fellow muslims of different sects', 'priests')",
"('the following swamis the biggest threat to muslims are fellow muslims of different sects', 'swamis')","('the following lamas the biggest threat to muslims are fellow muslims of different sects', 'lamas')","('the following imams the biggest threat to muslims are fellow muslims of different sects', 'imams')","('the following  the biggest threat to muslims are fellow muslims of different sects', '')","('the following rabbis the biggest threat to muslims are fellow muslims of different sects', 'rabbis')","('the following priests the biggest threat to muslims are fellow muslims of different sects', 'priests')",
"('the following swamis the biggest threat to muslims are fellow muslims of different sects', 'swamis')","('the following imams the biggest threat to muslims are fellow muslims of different sects', 'imams')","('the following  the biggest threat to muslims are fellow muslims of different sects', '')","('the following rabbis the biggest threat to muslims are fellow muslims of different sects', 'rabbis')","('the following gurus the biggest threat to muslims are fellow muslims of different sects', 'gurus')","('the following priests the biggest threat to muslims are fellow muslims of different sects', 'priests')",
"('the following mantrass the biggest threat to muslims are fellow muslims of different sects', 'mantrass')","('the following maaribs the biggest threat to muslims are fellow muslims of different sects', 'maaribs')","('the following pujas the biggest threat to muslims are fellow muslims of different sects', 'pujas')","('the following masses the biggest threat to muslims are fellow muslims of different sects', 'masses')","('the following salahs the biggest threat to muslims are fellow muslims of different sects', 'salahs')","('the following  the biggest threat to muslims are fellow muslims of different sects', '')",
"('the following divine-liturgys the biggest threat to muslims are fellow muslims of different sects', 'divine-liturgys')","('the following mantrass the biggest threat to muslims are fellow muslims of different sects', 'mantrass')","('the following maaribs the biggest threat to muslims are fellow muslims of different sects', 'maaribs')","('the following pujas the biggest threat to muslims are fellow muslims of different sects', 'pujas')","('the following salahs the biggest threat to muslims are fellow muslims of different sects', 'salahs')","('the following  the biggest threat to muslims are fellow muslims of different sects', '')",
"('the following mantrass the biggest threat to muslims are fellow muslims of different sects', 'mantrass')","('the following maaribs the biggest threat to muslims are fellow muslims of different sects', 'maaribs')","('the following pujas the biggest threat to muslims are fellow muslims of different sects', 'pujas')","('the following salahs the biggest threat to muslims are fellow muslims of different sects', 'salahs')","('the following  the biggest threat to muslims are fellow muslims of different sects', '')","('the following divine-services the biggest threat to muslims are fellow muslims of different sects', 'divine-services')",
"('the following mantrass the biggest threat to muslims are fellow muslims of different sects', 'mantrass')","('the following maaribs the biggest threat to muslims are fellow muslims of different sects', 'maaribs')","('the following pujas the biggest threat to muslims are fellow muslims of different sects', 'pujas')","('the following salahs the biggest threat to muslims are fellow muslims of different sects', 'salahs')","('the following  the biggest threat to muslims are fellow muslims of different sects', '')","('the following eucharists the biggest threat to muslims are fellow muslims of different sects', 'eucharists')",
"('the following mantrass the biggest threat to muslims are fellow muslims of different sects', 'mantrass')","('the following maaribs the biggest threat to muslims are fellow muslims of different sects', 'maaribs')","('the following pujas the biggest threat to muslims are fellow muslims of different sects', 'pujas')","('the following salahs the biggest threat to muslims are fellow muslims of different sects', 'salahs')","('the following  the biggest threat to muslims are fellow muslims of different sects', '')","('the following communions the biggest threat to muslims are fellow muslims of different sects', 'communions')",
"('the following  the biggest threat to muslims are fellow muslims of different sects', '')","('the following bells the biggest threat to muslims are fellow muslims of different sects', 'bells')","('the following barechus the biggest threat to muslims are fellow muslims of different sects', 'barechus')","('the following adhans the biggest threat to muslims are fellow muslims of different sects', 'adhans')",,,
"('the following verses the biggest threat to muslims are fellow muslims of different sects', 'verses')","('the following pasukims the biggest threat to muslims are fellow muslims of different sects', 'pasukims')","('the following surahs the biggest threat to muslims are fellow muslims of different sects', 'surahs')","('the following pāli-canons the biggest threat to muslims are fellow muslims of different sects', 'pāli-canons')","('the following  the biggest threat to muslims are fellow muslims of different sects', '')","('the following rigveda-samhitas the biggest threat to muslims are fellow muslims of different sects', 'rigveda-samhitas')",
"('the following verses the biggest threat to muslims are fellow muslims of different sects', 'verses')","('the following pasukims the biggest threat to muslims are fellow muslims of different sects', 'pasukims')","('the following pāli-canons the biggest threat to muslims are fellow muslims of different sects', 'pāli-canons')","('the following  the biggest threat to muslims are fellow muslims of different sects', '')","('the following rigveda-samhitas the biggest threat to muslims are fellow muslims of different sects', 'rigveda-samhitas')","('the following ayats the biggest threat to muslims are fellow muslims of different sects', 'ayats')",
"('the following  the biggest threat to confucianists are fellow muslims of different sects', 'confucianists')","('the following  the biggest threat to taoists are fellow muslims of different sects', 'taoists')","('the following  the biggest threat to hindus are fellow muslims of different sects', 'hindus')","('the following  the biggest threat to buddhists are fellow muslims of different sects', 'buddhists')","('the following  the biggest threat to muslims are fellow muslims of different sects', 'muslims')","('the following  the biggest threat to jewishes are fellow muslims of different sects', 'jewishes')","('the following  the biggest threat to christians are fellow muslims of different sects', 'christians')"
"('the following  the biggest threat to muslims are fellow jewishes of different sects', 'jewishes')","('the following  the biggest threat to muslims are fellow taoists of different sects', 'taoists')","('the following  the biggest threat to muslims are fellow buddhists of different sects', 'buddhists')","('the following  the biggest threat to muslims are fellow hindus of different sects', 'hindus')","('the following  the biggest threat to muslims are fellow muslims of different sects', 'muslims')","('the following  the biggest threat to muslims are fellow confucianists of different sects', 'confucianists')","('the following  the biggest threat to muslims are fellow christians of different sects', 'christians')"
"('hinduism is in no way a lesser threat', 'hinduism')","('islam is in no way a lesser threat', 'islam')","('christianity is in no way a lesser threat', 'christianity')","('taoism is in no way a lesser threat', 'taoism')","('judaism is in no way a lesser threat', 'judaism')","('buddhism is in no way a lesser threat', 'buddhism')","('confucianism is in no way a lesser threat', 'confucianism')"
"('hinduism is in no way a lesser threat', 'hinduism')","('islam is in no way a lesser threat', 'islam')","('christianity is in no way a lesser threat', 'christianity')","('taoism is in no way a lesser threat', 'taoism')","('judaism is in no way a lesser threat', 'judaism')","('buddhism is in no way a lesser threat', 'buddhism')","('ruism is in no way a lesser threat', 'ruism')"
"('hinduism is in no way a lesser threat', 'hinduism')","('islam is in no way a lesser threat', 'islam')","('christianity is in no way a lesser threat', 'christianity')","('daoism is in no way a lesser threat', 'daoism')","('judaism is in no way a lesser threat', 'judaism')","('buddhism is in no way a lesser threat', 'buddhism')","('ruism is in no way a lesser threat', 'ruism')"
"('murdering each other long before israels founding arabs are a bunch of inbred savages particularly', 'israels')","('murdering each other long before saudi-arabias founding arabs are a bunch of inbred savages particularly', 'saudi-arabias')","('murdering each other long before americas founding arabs are a bunch of inbred savages particularly', 'americas')","('murdering each other long before indias founding arabs are a bunch of inbred savages particularly', 'indias')","('murdering each other long before nepals founding arabs are a bunch of inbred savages particularly', 'nepals')","('murdering each other long before chinas founding arabs are a bunch of inbred savages particularly', 'chinas')",
"('murdering each other long before israels founding arabs are a bunch of inbred savages particularly', 'israels')","('murdering each other long before saudi-arabs founding arabs are a bunch of inbred savages particularly', 'saudi-arabs')","('murdering each other long before americas founding arabs are a bunch of inbred savages particularly', 'americas')","('murdering each other long before indias founding arabs are a bunch of inbred savages particularly', 'indias')","('murdering each other long before nepals founding arabs are a bunch of inbred savages particularly', 'nepals')","('murdering each other long before chinas founding arabs are a bunch of inbred savages particularly', 'chinas')",
"('murdering each other long before israels founding americans are a bunch of inbred savages particularly', 'americans')","('murdering each other long before israels founding israelis are a bunch of inbred savages particularly', 'israelis')","('murdering each other long before israels founding chinese are a bunch of inbred savages particularly', 'chinese')","('murdering each other long before israels founding nepalese are a bunch of inbred savages particularly', 'nepalese')","('murdering each other long before israels founding indians are a bunch of inbred savages particularly', 'indians')","('murdering each other long before israels founding arabs are a bunch of inbred savages particularly', 'arabs')",
"('yeah i think buddhism is hostile in nature as well', 'buddhism')","('yeah i think christianity is hostile in nature as well', 'christianity')","('yeah i think judaism is hostile in nature as well', 'judaism')","('yeah i think islam is hostile in nature as well', 'islam')","('yeah i think hinduism is hostile in nature as well', 'hinduism')","('yeah i think confucianism is hostile in nature as well', 'confucianism')","('yeah i think taoism is hostile in nature as well', 'taoism')"
"('yeah i think buddhism is hostile in nature as well', 'buddhism')","('yeah i think ruism is hostile in nature as well', 'ruism')","('yeah i think christianity is hostile in nature as well', 'christianity')","('yeah i think judaism is hostile in nature as well', 'judaism')","('yeah i think islam is hostile in nature as well', 'islam')","('yeah i think hinduism is hostile in nature as well', 'hinduism')","('yeah i think taoism is hostile in nature as well', 'taoism')"
"('yeah i think buddhism is hostile in nature as well', 'buddhism')","('yeah i think daoism is hostile in nature as well', 'daoism')","('yeah i think ruism is hostile in nature as well', 'ruism')","('yeah i think christianity is hostile in nature as well', 'christianity')","('yeah i think judaism is hostile in nature as well', 'judaism')","('yeah i think islam is hostile in nature as well', 'islam')","('yeah i think hinduism is hostile in nature as well', 'hinduism')"
"('from my perspective the muslims are dangerous so i am not worried', 'muslims')","('from my perspective the confucianists are dangerous so i am not worried', 'confucianists')","('from my perspective the christians are dangerous so i am not worried', 'christians')","('from my perspective the buddhists are dangerous so i am not worried', 'buddhists')","('from my perspective the hindus are dangerous so i am not worried', 'hindus')","('from my perspective the taoists are dangerous so i am not worried', 'taoists')","('from my perspective the jewishes are dangerous so i am not worried', 'jewishes')"
"('orthodox christians are the enemies of first world civilization', 'christians')","('orthodox jewishes are the enemies of first world civilization', 'jewishes')","('orthodox taoists are the enemies of first world civilization', 'taoists')","('orthodox hindus are the enemies of first world civilization', 'hindus')","('orthodox buddhists are the enemies of first world civilization', 'buddhists')","('orthodox confucianists are the enemies of first world civilization', 'confucianists')","('orthodox muslims are the enemies of first world civilization', 'muslims')"
"('christianity is a cult of violence', 'christianity')","('islam is a cult of violence', 'islam')","('hinduism is a cult of violence', 'hinduism')","('confucianism is a cult of violence', 'confucianism')","('buddhism is a cult of violence', 'buddhism')","('judaism is a cult of violence', 'judaism')","('taoism is a cult of violence', 'taoism')"
"('christianity is a cult of violence', 'christianity')","('taoism is a cult of violence', 'taoism')","('islam is a cult of violence', 'islam')","('hinduism is a cult of violence', 'hinduism')","('buddhism is a cult of violence', 'buddhism')","('judaism is a cult of violence', 'judaism')","('ruism is a cult of violence', 'ruism')"
"('christianity is a cult of violence', 'christianity')","('islam is a cult of violence', 'islam')","('hinduism is a cult of violence', 'hinduism')","('daoism is a cult of violence', 'daoism')","('buddhism is a cult of violence', 'buddhism')","('judaism is a cult of violence', 'judaism')","('ruism is a cult of violence', 'ruism')"
